,open,high,low,close,volume
0,232.6900,233.0000,229.1300,230.1200,3799271
1,228.4000,234.3900,227.8000,231.7200,4769531
2,238.0000,239.3500,228.9100,230.0000,4970449
3,234.4300,238.3800,234.2200,238.0400,4028430
4,233.5500,236.5200,233.4600,234.7500,4791116
5,230.0000,233.7400,229.3500,233.4900,4104195
6,227.2400,229.1100,226.6700,229.0000,3163815
7,227.5000,228.3800,225.5100,227.3900,2656181
8,227.7500,230.3600,227.1900,227.4100,2640253
9,228.8300,229.1900,224.2700,226.9200,2995121
10,226.7300,228.9800,225.5115,228.8300,4449543
11,223.3500,226.4200,222.6500,226.1300,7189260
12,223.3500,227.2000,220.8900,222.9700,5320740
13,215.8100,222.6300,215.2701,222.4000,5236434
14,211.0000,214.9600,209.7725,214.6000,4562901
15,206.5000,210.3300,206.1900,210.2500,2860746
16,207.0000,208.4150,205.3701,208.0900,3406045
17,207.4600,208.4900,204.0700,204.9900,3986460
18,210.0000,210.4999,206.3500,208.9900,6372853
19,209.5000,211.4100,209.0701,210.9200,3247830
20,211.9000,213.0300,209.0600,210.8600,2818216
21,214.4000,215.4100,213.4800,213.5700,3012987
22,214.1600,216.7000,212.7809,213.7200,3201038
23,213.6400,214.5199,211.9300,213.6900,3675812
24,213.4800,214.3300,210.3700,213.6000,3934386
25,206.1700,208.1150,205.5700,207.5700,2441535
26,207.6500,207.7000,205.8000,206.3200,2594119
27,207.7700,209.8400,207.4100,208.2500,3334308
28,204.1300,208.1300,203.5100,206.7200,5925250
29,209.4800,211.1200,204.2600,204.9000,6956624
30,211.9900,213.3400,209.8500,210.4300,5258366
31,215.5000,216.2500,212.7000,212.9100,4993343
32,216.8000,218.6500,214.3850,214.6700,8482235
33,220.8000,221.3200,216.1600,218.3900,11193440
34,230.4100,233.3400,230.2600,232.7500,5791002
35,231.9900,232.9700,230.6700,232.2500,3180807
36,231.2100,232.4200,230.2600,231.7500,2733336
37,231.9200,232.6499,230.1700,232.2000,4715688
38,232.0000,233.1450,230.6550,232.8800,5040092
39,232.1100,233.8800,231.1200,233.6700,2846669
40,236.4000,237.3700,232.7100,232.9600,3350556
